t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
0.062000,0.000000,0.006765,0.193362,0.019344,0.000000,0.000007,0.000000,0.000016
0.062500,-0.000000,0.006820,0.193372,0.019343,0.000000,0.000007,0.000000,0.000014
0.063000,-0.000000,0.006875,0.193382,0.019343,0.000000,0.000007,0.000000,0.000007
0.063500,0.000000,0.006930,0.193393,0.019343,0.000000,0.000007,0.000000,0.000015
0.064000,-0.000000,0.006985,0.193403,0.019343,0.000000,0.000007,0.000000,0.000009
0.064500,0.000000,0.007040,0.193414,0.019343,0.000000,0.000007,0.000000,0.000012
0.065000,0.000000,0.007095,0.193425,0.019343,0.000000,0.000007,0.000000,0.000017
0.065500,0.000000,0.007150,0.193433,0.019343,0.000000,0.000007,0.000000,0.000012
0.066000,0.000000,0.007205,0.193444,0.019343,0.000000,0.000007,0.000000,0.000017
0.066500,0.000000,0.007260,0.193453,0.019343,0.000000,0.000007,0.000000,0.000010
0.067000,0.000000,0.007315,0.193464,0.019343,0.000000,0.000007,0.000000,0.000017
0.067500,0.000000,0.007370,0.193472,0.019343,0.000000,0.000007,0.000000,0.000010
0.068000,0.000000,0.007425,0.193483,0.019343,0.000000,0.000007,0.000000,0.000013
0.068500,0.000000,0.007480,0.193495,0.019343,0.000000,0.000007,0.000000,0.000020
0.069000,0.000000,0.007535,0.193503,0.019343,0.000000,0.000007,0.000000,0.000012
0.069500,0.000000,0.007590,0.193513,0.019343,0.000000,0.000007,0.000000,0.000018
0.070000,0.000000,0.007645,0.193522,0.019343,0.000000,0.000007,0.000000,0.000011
0.070500,0.000000,0.007700,0.193532,0.019343,0.000000,0.000007,0.000000,0.000014
0.071000,0.000000,0.007755,0.193543,0.019343,0.000000,0.000007,0.000000,0.000019
0.071500,0.000000,0.007810,0.193551,0.019343,0.000000,0.000007,0.000000,0.000013
0.072000,0.000000,0.007865,0.193561,0.019343,0.000000,0.000007,0.000000,0.000018
0.072500,0.000000,0.007920,0.193570,0.019343,0.000000,0.000007,0.000000,0.000012
0.073000,0.000000,0.007975,0.193580,0.019343,0.000000,0.000007,0.000000,0.000018
0.073500,0.000000,0.008030,0.193589,0.019343,0.000000,0.000007,0.000000,0.000010
0.074000,0.000000,0.008085,0.193599,0.019343,0.000000,0.000007,0.000000,0.000017
0.074500,0.000000,0.008140,0.193608,0.019343,0.000000,0.000007,0.000000,0.000010
0.075000,0.000000,0.008195,0.193618,0.019343,0.000000,0.000007,0.000000,0.000017
0.075500,0.000000,0.008250,0.193627,0.019343,0.000000,0.000007,0.000000,0.000011
0.076000,0.000000,0.008305,0.193637,0.019343,0.000000,0.000007,0.000000,0.000013
0.076500,0.000000,0.008360,0.193648,0.019343,0.000000,0.000007,0.000000,0.000019
0.077000,0.000000,0.008415,0.193656,0.019343,0.000000,0.000007,0.000000,0.000011
0.077500,0.000000,0.008470,0.193666,0.019343,0.000000,0.000007,0.000000,0.000019
0.078000,0.000000,0.008525,0.193675,0.019343,0.000000,0.000007,0.000000,0.000011
0.078500,0.000000,0.008580,0.193685,0.019343,0.000000,0.000007,0.000000,0.000018
0.079000,0.000000,0.008635,0.193693,0.019343,0.000000,0.000007,0.000000,0.000010
0.079500,0.000000,0.008690,0.193703,0.019343,0.000000,0.000007,0.000000,0.000018
0.080000,0.000000,0.008745,0.193711,0.019343,0.000000,0.000007,0.000000,0.000010
0.080500,0.000000,0.008800,0.193721,0.019343,0.000000,0.000007,0.000000,0.000017
0.081000,0.000000,0.008855,0.193729,0.019343,0.000000,0.000007,0.000000,0.000010
0.081500,0.000000,0.008910,0.193739,0.019343,0.000000,0.000007,0.000000,0.000017
0.082000,0.000000,0.008965,0.193747,0.019343,0.000000,0.000007,0.000000,0.000010
0.082500,0.000000,0.009020,0.193757,0.019343,0.000000,0.000007,0.000000,0.000017
0.083000,0.000000,0.009075,0.193765,0.019343,0.000000,0.000007,0.000000,0.000010
0.083500,0.000000,0.009130,0.193775,0.019343,0.000000,0.000007,0.000000,0.000017
0.084000,0.000000,0.009185,0.193783,0.019343,0.000000,0.000007,0.000000,0.000010
0.084500,0.000000,0.009240,0.193793,0.019343,0.000000,0.000007,0.000000,0.000017
0.085000,0.000000,0.009295,0.193800,0.019343,0.000000,0.000007,0.000000,0.000010
0.085500,0.000000,0.009350,0.193810,0.019343,0.000000,0.000007,0.000000,0.000017
0.086000,0.000000,0.009405,0.193818,0.019343,0.000000,0.000007,0.000000,0.000010
0.086500,0.000000,0.009460,0.193828,0.019343,0.000000,0.000007,0.000000,0.000017
0.087000,0.000000,0.009515,0.193835,0.019343,0.000000,0.000007,0.000000,0.000010
0.087500,0.000000,0.009570,0.193845,0.019343,0.000000,0.000007,0.000000,0.000017
0.088000,0.000000,0.009625,0.193852,0.019343,0.000000,0.000007,0.000000,0.000011
0.088500,0.000000,0.009680,0.193862,0.019343,0.000000,0.000007,0.000000,0.000011
0.089000,0.000000,0.009735,0.193872,0.019343,0.000000,0.000007,0.000000,0.000012
0.089500,0.000000,0.009790,0.193882,0.019343,0.000000,0.000007,0.000000,0.000020
0.090000,0.000000,0.009845,0.193890,0.019343,0.000000,0.000007,0.000000,0.000012
0.090500,0.000000,0.009900,0.193900,0.019343,0.000000,0.000007,0.000000,0.000019
0.091000,0.000000,0.009955,0.193908,0.019343,0.000000,0.000007,0.000000,0.000012
0.091500,0.000000,0.010010,0.193918,0.019343,0.000000,0.000007,0.000000,0.000013
0.092000,0.000000,0.010065,0.193930,0.019343,0.000000,0.000007,0.000000,0.000021
0.092500,0.000000,0.010120,0.193937,0.019343,0.000000,0.000007,0.000000,0.000014
0.093000,0.000000,0.010175,0.193947,0.019343,0.000000,0.000007,0.000000,0.000020
0.093500,0.000000,0.010230,0.193954,0.019343,0.000000,0.000007,0.000000,0.000012
0.094000,0.000000,0.010285,0.193966,0.019343,0.000000,0.000007,0.000000,0.000021
0.094500,0.000000,0.010340,0.193973,0.019343,0.000000,0.000007,0.000000,0.000012
0.095000,0.000000,0.010395,0.193983,0.019343,0.000000,0.000007,0.000000,0.000019
0.095500,0.000000,0.010450,0.193990,0.019343,0.000000,0.000007,0.000000,0.000011
0.096000,0.000000,0.010505,0.194000,0.019343,0.000000,0.000007,0.000000,0.000019
0.096500,0.000000,0.010560,0.194008,0.019343,0.000000,0.000007,0.000000,0.000011
0.097000,0.000000,0.010615,0.194018,0.019343,0.000000,0.000007,0.000000,0.000018
0.097500,0.000000,0.010670,0.194025,0.019343,0.000000,0.000007,0.000000,0.000011
0.098000,0.000000,0.010725,0.194036,0.019343,0.000000,0.000007,0.000000,0.000018
0.098500,0.000000,0.010780,0.194043,0.019343,0.000000,0.000007,0.000000,0.000011
0.099000,0.000000,0.010835,0.194053,0.019343,0.000000,0.000007,0.000000,0.000018
0.099500,0.000000,0.010890,0.194061,0.019343,0.000000,0.000007,0.000000,0.000010
0.100000,0.000000,0.010945,0.194071,0.019343,0.000000,0.000007,0.000000,0.000018
0.100500,0.000000,0.011000,0.194078,0.019343,0.000000,0.000007,0.000000,0.000010
0.101000,0.000000,0.011055,0.194089,0.019343,0.000000,0.000007,0.000000,0.000018
0.101500,0.000000,0.011110,0.194096,0.019343,0.000000,0.000007,0.000000,0.000010
0.102000,0.000000,0.011165,0.194107,0.019343,0.000000,0.000007,0.000000,0.000018
0.102500,0.000000,0.011220,0.194114,0.019343,0.000000,0.000007,0.000000,0.000010
0.103000,0.000000,0.011275,0.194125,0.019343,0.000000,0.000007,0.000000,0.000018
0.103500,0.000000,0.011330,0.194132,0.019343,0.000000,0.000007,0.000000,0.000010
0.104000,0.000000,0.011385,0.194142,0.019343,0.000000,0.000007,0.000000,0.000018
0.104500,0.000000,0.011440,0.194150,0.019343,0.000000,0.000007,0.000000,0.000010
0.105000,0.000000,0.011495,0.194160,0.019343,0.000000,0.000007,0.000000,0.000018
0.105500,0.000000,0.011550,0.194168,0.019343,0.000000,0.000007,0.000000,0.000010
0.106000,0.000000,0.011605,0.194178,0.019343,0.000000,0.000007,0.000000,0.000018
0.106500,0.000000,0.011660,0.194186,0.019343,0.000000,0.000007,0.000000,0.000016
0.107000,0.000000,0.011715,0.194195,0.019343,0.000000,0.000007,0.000000,0.000015
0.107500,0.000000,0.011770,0.194204,0.019343,0.000000,0.000007,0.000000,0.000015
0.108000,0.000000,0.011825,0.194213,0.019343,0.000000,0.000007,0.000000,0.000015
0.108500,0.000000,0.011880,0.194223,0.019343,0.000000,0.000007,0.000000,0.000014
0.109000,0.000000,0.011935,0.194233,0.019342,0.000000,0.000007,0.000000,0.000014
0.109500,0.000000,0.011990,0.194243,0.019342,0.000000,0.000007,0.000000,0.000014
0.110000,0.000000,0.012045,0.194254,0.019342,0.000000,0.000007,0.000000,0.000014
0.110500,0.000000,0.012100,0.194265,0.019342,0.000000,0.000007,0.000000,0.000013
0.111000,0.000000,0.012155,0.194276,0.019342,0.000000,0.000007,0.000000,0.000013
0.111500,0.000000,0.012210,0.194287,0.019342,0.000000,0.000007,0.000000,0.000013
0.112000,0.000000,0.012265,0.194299,0.019342,0.000000,0.000007,0.000000,0.000013
0.112500,0.000000,0.012320,0.194311,0.019342,0.000000,0.000007,0.000000,0.000013
0.113000,0.000000,0.012375,0.194311,0.019342,0.000000,0.000007,0.000000,0.000013
0.113500,0.000000,0.012430,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.114000,0.000000,0.012485,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.114500,0.000001,0.012540,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.115000,0.000001,0.012595,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.115500,0.000001,0.012650,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.116000,0.000001,0.012705,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.116500,0.000001,0.012760,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.117000,0.000001,0.012815,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.117500,0.000001,0.012870,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.118000,0.000001,0.012925,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.118500,0.000001,0.012980,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.119000,0.000001,0.013035,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.119500,0.000001,0.013090,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.120000,0.000001,0.013145,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.120500,0.000001,0.013200,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.121000,0.000001,0.013255,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.121500,0.000001,0.013310,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.122000,0.000001,0.013365,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.122500,0.000001,0.013420,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.123000,0.000001,0.013475,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.123500,0.000001,0.013530,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.124000,0.000001,0.013585,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.124500,0.000001,0.013640,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.125000,0.000001,0.013695,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.125500,0.000001,0.013750,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.126000,0.000001,0.013805,0.194310,0.019342,0.000000,0.000007,0.000000,0.000012
0.126500,0.000001,0.013860,0.194309,0.019342,0.000000,0.000007,0.000000,0.000011
0.127000,0.000001,0.013915,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
0.127500,0.000001,0.013970,0.194309,0.019342,0.000000,0.000007,0.000000,0.000012
