t,theta_deg,force_N,pen_travel_mm,pen_seat_mm,pen_interface_mm
2.11650,-0.0000,-0.15000,0.000000,0.000019,0.000114
2.11700,-0.0000,-0.15000,0.000000,0.000019,0.000114
2.11750,-0.0000,-0.15000,0.000000,0.000019,0.000114
2.11800,-0.0000,-0.15000,0.000000,0.000019,0.000114
2.11850,-0.0000,-0.15000,0.000000,0.000019,0.000114
2.11900,-0.0000,-0.15000,0.000000,0.000019,0.000113
2.11950,-0.0000,-0.15000,0.000000,0.000019,0.000113
2.12000,-0.0000,-0.15000,0.000000,0.000019,0.000113
2.12050,-0.0000,-0.15000,0.000000,0.000019,0.000113
2.12100,-0.0000,-0.15000,0.000000,0.000019,0.000112
2.12150,-0.0000,-0.15000,0.000000,0.000019,0.000112
2.12200,-0.0000,-0.15000,0.000000,0.000019,0.000112
2.12250,-0.0000,-0.15000,0.000000,0.000019,0.000112
2.12300,-0.0000,-0.15000,0.000000,0.000019,0.000112
2.12350,-0.0000,-0.15000,0.000000,0.000019,0.000111
2.12400,-0.0000,-0.15000,0.000000,0.000019,0.000111
2.12450,-0.0000,-0.15000,0.000000,0.000019,0.000111
2.12500,-0.0000,-0.15000,0.000000,0.000019,0.000111
2.12550,-0.0000,-0.15000,0.000000,0.000019,0.000111
2.12600,-0.0000,-0.15000,0.000000,0.000019,0.000110
2.12650,-0.0000,-0.15000,0.000000,0.000019,0.000110
2.12700,-0.0000,-0.15000,0.000000,0.000019,0.000110
2.12750,-0.0000,-0.15000,0.000000,0.000019,0.000110
2.12800,-0.0000,-0.15000,0.000000,0.000019,0.000110
2.12850,-0.0000,-0.15000,0.000000,0.000019,0.000109
2.12900,-0.0000,-0.15000,0.000000,0.000019,0.000109
2.12950,-0.0000,-0.15000,0.000000,0.000019,0.000109
2.13000,-0.0000,-0.15000,0.000000,0.000019,0.000109
2.13050,-0.0000,-0.15000,0.000000,0.000019,0.000109
2.13100,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.13150,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.13200,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.13250,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.13300,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.13350,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.13400,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.13450,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.13500,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.13550,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.13600,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.13650,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.13700,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.13750,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.13800,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.13850,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.13900,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.13950,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.14000,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.14050,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.14100,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.14150,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.14200,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.14250,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.14300,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.14350,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.14400,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.14450,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.14500,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.14550,-0.0000,-0.15000,0.000000,0.000019,0.000103
2.14600,-0.0000,-0.15000,0.000000,0.000019,0.000103
2.14650,-0.0000,-0.15000,0.000000,0.000019,0.000103
2.14700,-0.0000,-0.15000,0.000000,0.000019,0.000103
2.14750,-0.0000,-0.15000,0.000000,0.000019,0.000103
2.14800,-0.0000,-0.15000,0.000000,0.000019,0.000103
2.14850,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.14900,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.14950,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15000,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15050,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15100,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15150,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15200,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15250,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15300,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15350,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15400,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15450,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15500,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15550,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15600,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15650,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15700,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15750,-0.0000,-0.15000,0.000000,0.000019,0.000108
2.15800,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15850,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15900,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.15950,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.16000,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.16050,-0.0000,-0.15000,0.000000,0.000019,0.000107
2.16100,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.16150,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.16200,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.16250,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.16300,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.16350,-0.0000,-0.15000,0.000000,0.000019,0.000106
2.16400,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.16450,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.16500,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.16550,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.16600,-0.0000,-0.15000,0.000000,0.000019,0.000105
2.16650,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.16700,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.16750,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.16800,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.16850,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.16900,-0.0000,-0.15000,0.000000,0.000019,0.000104
2.16950,-0.0000,-0.15000,0.000000,0.000019,0.000103
