t,theta_deg,force_N,penetration_mm
0.11350,-0.00000,0.01695,0.000001
0.11400,-0.00000,0.01703,0.000001
0.11450,-0.00000,0.01710,0.000001
0.11500,-0.00000,0.01718,0.000001
0.11550,-0.00000,0.01725,0.000001
0.11600,-0.00000,0.01733,0.000001
0.11650,-0.00000,0.01740,0.000001
0.11700,-0.00000,0.01748,0.000001
0.11750,-0.00000,0.01755,0.000001
0.11800,-0.00000,0.01763,0.000001
0.11850,-0.00000,0.01770,0.000001
0.11900,-0.00000,0.01778,0.000001
0.11950,-0.00000,0.01785,0.000001
0.12000,-0.00000,0.01793,0.000001
0.12050,-0.00000,0.01800,0.000001
0.12100,-0.00000,0.01808,0.000001
0.12150,-0.00000,0.01815,0.000001
0.12200,-0.00000,0.01823,0.000001
0.12250,-0.00000,0.01830,0.000001
0.12300,-0.00000,0.01838,0.000001
0.12350,-0.00000,0.01845,0.000001
0.12400,-0.00000,0.01853,0.000001
0.12450,-0.00000,0.01860,0.000001
0.12500,-0.00000,0.01868,0.000001
0.12550,-0.00000,0.01875,0.000001
0.12600,-0.00000,0.01883,0.000001
0.12650,-0.00000,0.01890,0.000001
0.12700,-0.00000,0.01898,0.000001
0.12750,-0.00000,0.01905,0.000001
0.12800,-0.00000,0.01913,0.000001
0.12850,-0.00000,0.01920,0.000001
0.12900,-0.00000,0.01928,0.000001
0.12950,-0.00000,0.01935,0.000001
0.13000,-0.00000,0.01943,0.000001
0.13050,-0.00000,0.01950,0.000001
0.13100,-0.00000,0.01958,0.000001
0.13150,-0.00000,0.01965,0.000001
0.13200,-0.00000,0.01973,0.000001
0.13250,-0.00000,0.01980,0.000001
0.13300,-0.00000,0.01988,0.000001
0.13350,-0.00000,0.01995,0.000001
0.13400,-0.00000,0.02003,0.000001
0.13450,-0.00000,0.02010,0.000001
0.13500,-0.00000,0.02018,0.000001
0.13550,-0.00000,0.02025,0.000001
0.13600,-0.00000,0.02033,0.000001
0.13650,-0.00000,0.02040,0.000001
0.13700,-0.00000,0.02048,0.000001
0.13750,-0.00000,0.02055,0.000001
0.13800,-0.00000,0.02063,0.000001
0.13850,-0.00000,0.02070,0.000001
0.13900,-0.00000,0.02078,0.000001
0.13950,-0.00000,0.02085,0.000001
0.14000,-0.00000,0.02093,0.000001
0.14050,-0.00000,0.02100,0.000001
0.14100,-0.00000,0.02108,0.000001
0.14150,-0.00000,0.02115,0.000001
0.14200,-0.00000,0.02123,0.000001
0.14250,-0.00000,0.02130,0.000001
0.14300,-0.00000,0.02138,0.000001
0.14350,-0.00000,0.02145,0.000001
0.14400,-0.00000,0.02153,0.000001
0.14450,-0.00000,0.02160,0.000001
0.14500,-0.00000,0.02168,0.000001
0.14550,-0.00000,0.02175,0.000001
0.14600,-0.00000,0.02183,0.000001
0.14650,-0.00000,0.02190,0.000001
0.14700,-0.00000,0.02198,0.000001
0.14750,-0.00000,0.02205,0.000001
0.14800,-0.00000,0.02213,0.000001
0.14850,-0.00000,0.02220,0.000001
0.14900,-0.00000,0.02228,0.000001
0.14950,-0.00000,0.02235,0.000001
0.15000,-0.00000,0.02243,0.000001
0.15050,-0.00000,0.02250,0.000001
0.15100,-0.00000,0.02258,0.000001
0.15150,-0.00000,0.02265,0.000001
0.15200,-0.00000,0.02273,0.000001
