t,theta_deg,force_N,pin_radial_mm,pin_axial_mm,pen_travel_mm,pen_seat_mm,pen_stop_mm,pen_interface_mm
1.586000,218.801814,-0.006675,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
1.586500,218.801814,-0.006750,0.194313,0.024725,0.000000,0.000000,0.000000,0.000359
1.587000,218.801813,-0.006825,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
1.587500,218.801813,-0.006900,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
1.588000,218.801813,-0.006975,0.194313,0.024725,0.000000,0.000000,0.000000,0.000359
1.588500,218.801813,-0.007050,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
1.589000,218.801813,-0.007125,0.194313,0.024726,0.000000,0.000000,0.000000,0.000359
1.589500,218.801813,-0.007200,0.194313,0.024726,0.000000,0.000000,0.000000,0.000360
1.590000,218.801813,-0.007275,0.194312,0.024725,0.000000,0.000000,0.000000,0.000359
1.590500,218.801813,-0.007350,0.194312,0.024726,0.000000,0.000000,0.000000,0.000359
1.591000,218.801812,-0.007425,0.194312,0.024726,0.000000,0.000000,0.000000,0.000359
1.591500,218.801812,-0.007500,0.194312,0.024725,0.000000,0.000000,0.000000,0.000359
1.592000,218.801812,-0.007575,0.194312,0.024726,0.000000,0.000000,0.000000,0.000359
1.592500,218.801812,-0.007650,0.194312,0.024726,0.000000,0.000000,0.000000,0.000359
1.593000,218.801812,-0.007725,0.194312,0.024725,0.000000,0.000000,0.000000,0.000359
1.593500,218.801812,-0.007800,0.194312,0.024726,0.000000,0.000000,0.000000,0.000359
1.594000,218.801812,-0.007875,0.194312,0.024726,0.000000,0.000000,0.000000,0.000359
1.594500,218.801811,-0.007950,0.194312,0.024726,0.000000,0.000000,0.000000,0.000360
1.595000,218.801811,-0.008025,0.194312,0.024725,0.000000,0.000000,0.000000,0.000359
1.595500,218.801811,-0.008100,0.194312,0.024726,0.000000,0.000000,0.000000,0.000359
1.596000,218.801811,-0.008175,0.194312,0.024726,0.000000,0.000000,0.000000,0.000359
1.596500,218.801811,-0.008250,0.194311,0.024725,0.000000,0.000000,0.000000,0.000359
1.597000,218.801811,-0.008325,0.194311,0.024726,0.000000,0.000000,0.000000,0.000359
1.597500,218.801811,-0.008400,0.194311,0.024726,0.000000,0.000000,0.000000,0.000359
1.598000,218.801811,-0.008475,0.194311,0.024725,0.000000,0.000000,0.000000,0.000359
1.598500,218.801811,-0.008550,0.194311,0.024725,0.000000,0.000000,0.000000,0.000359
1.599000,218.801810,-0.008625,0.194311,0.024726,0.000000,0.000000,0.000000,0.000359
1.599500,218.801810,-0.008700,0.194311,0.024726,0.000000,0.000000,0.000000,0.000360
1.600000,218.801810,-0.008775,0.194311,0.024725,0.000000,0.000000,0.000000,0.000359
1.600500,218.801810,-0.008850,0.194311,0.024726,0.000000,0.000000,0.000000,0.000359
1.601000,218.801810,-0.008925,0.194311,0.024726,0.000000,0.000000,0.000000,0.000359
1.601500,218.801810,-0.009000,0.194311,0.024725,0.000000,0.000000,0.000000,0.000359
1.602000,218.801810,-0.009075,0.194311,0.024725,0.000000,0.000000,0.000000,0.000359
1.602500,218.801810,-0.009150,0.194311,0.024726,0.000000,0.000000,0.000000,0.000359
1.603000,218.801809,-0.009225,0.194311,0.024725,0.000000,0.000000,0.000000,0.000359
1.603500,218.801809,-0.009300,0.194311,0.024725,0.000000,0.000000,0.000000,0.000359
1.604000,218.801809,-0.009375,0.194311,0.024726,0.000000,0.000000,0.000000,0.000359
1.604500,218.801809,-0.009450,0.194311,0.024726,0.000000,0.000000,0.000000,0.000360
1.605000,218.801809,-0.009525,0.194310,0.024725,0.000000,0.000000,0.000000,0.000359
1.605500,218.801809,-0.009600,0.194310,0.024726,0.000000,0.000000,0.000000,0.000359
1.606000,218.801809,-0.009675,0.194310,0.024726,0.000000,0.000000,0.000000,0.000359
1.606500,218.801809,-0.009750,0.194310,0.024725,0.000000,0.000000,0.000000,0.000359
1.607000,218.801808,-0.009825,0.194310,0.024725,0.000000,0.000000,0.000000,0.000359
1.607500,218.801808,-0.009900,0.194310,0.024726,0.000000,0.000000,0.000000,0.000359
1.608000,218.801808,-0.009975,0.194310,0.024725,0.000000,0.000000,0.000000,0.000359
1.608500,218.801808,-0.010050,0.194310,0.024725,0.000000,0.000000,0.000000,0.000359
1.609000,218.801808,-0.010125,0.194310,0.024726,0.000000,0.000000,0.000000,0.000359
1.609500,218.801808,-0.010200,0.194310,0.024726,0.000000,0.000000,0.000000,0.000360
1.610000,218.801808,-0.010275,0.194310,0.024725,0.000000,0.000000,0.000000,0.000359
1.610500,218.801808,-0.010350,0.194310,0.024725,0.000000,0.000000,0.000000,0.000359
1.611000,218.801807,-0.010425,0.194310,0.024726,0.000000,0.000000,0.000000,0.000359
1.611500,218.801807,-0.010500,0.194309,0.024725,0.000000,0.000000,0.000000,0.000359
1.612000,218.801807,-0.010575,0.194309,0.024725,0.000000,0.000000,0.000000,0.000359
1.612500,218.801807,-0.010650,0.194309,0.024726,0.000000,0.000000,0.000000,0.000359
