t,theta_deg,force_N,pen_travel_mm,pen_seat_mm,pen_interface_mm
2.42200,75.9269,-0.13290,0.000000,0.000000,0.000000
2.42250,75.7958,-0.13305,0.000000,0.000000,0.000000
2.42300,75.6644,-0.13320,0.000000,0.000000,0.000000
2.42350,75.5326,-0.13335,0.000000,0.000000,0.000000
2.42400,75.4005,-0.13350,0.000000,0.000000,0.000000
2.42450,75.2681,-0.13365,0.000000,0.000000,0.000000
2.42500,75.1354,-0.13380,0.000000,0.000000,0.000000
2.42550,75.0024,-0.13395,0.000000,0.000000,0.000000
2.42600,74.8690,-0.13410,0.000000,0.000000,0.000000
2.42650,74.7353,-0.13425,0.000000,0.000000,0.000000
2.42700,74.6012,-0.13440,0.000000,0.000000,0.000000
2.42750,74.4669,-0.13455,0.000000,0.000000,0.000000
2.42800,74.3322,-0.13470,0.000000,0.000000,0.000000
2.42850,74.1971,-0.13485,0.000000,0.000000,0.000000
2.42900,74.0618,-0.13500,0.000000,0.000000,0.000000
2.42950,73.9261,-0.13515,0.000000,0.000000,0.000000
2.43000,73.7900,-0.13530,0.000000,0.000000,0.000000
2.43050,73.6537,-0.13545,0.000000,0.000000,0.000000
2.43100,73.5170,-0.13560,0.000000,0.000000,0.000000
2.43150,73.3800,-0.13575,0.000000,0.000000,0.000000
2.43200,73.2426,-0.13590,0.000000,0.000000,0.000000
2.43250,73.1049,-0.13605,0.000000,0.000000,0.000000
2.43300,72.9669,-0.13620,0.000000,0.000000,0.000000
2.43350,72.8285,-0.13635,0.000000,0.000000,0.000000
2.43400,72.6898,-0.13650,0.000000,0.000000,0.000000
2.43450,72.5508,-0.13665,0.000000,0.000000,0.000000
2.43500,72.4114,-0.13680,0.000000,0.000000,0.000000
2.43550,72.2717,-0.13695,0.000000,0.000000,0.000000
2.43600,72.1317,-0.13710,0.000000,0.000000,0.000000
2.43650,71.9913,-0.13725,0.000000,0.000000,0.000000
2.43700,71.8506,-0.13740,0.000000,0.000000,0.000000
2.43750,71.7095,-0.13755,0.000000,0.000000,0.000000
2.43800,71.5681,-0.13770,0.000000,0.000000,0.000000
2.43850,71.4264,-0.13785,0.000000,0.000000,0.000000
2.43900,71.2843,-0.13800,0.000000,0.000000,0.000000
2.43950,71.1419,-0.13815,0.000000,0.000000,0.000000
2.44000,70.9992,-0.13830,0.000000,0.000000,0.000000
2.44050,70.8561,-0.13845,0.000000,0.000000,0.000000
2.44100,70.7126,-0.13860,0.000000,0.000000,0.000000
2.44150,70.5689,-0.13875,0.000000,0.000000,0.000000
2.44200,70.4247,-0.13890,0.000000,0.000000,0.000000
2.44250,70.2803,-0.13905,0.000000,0.000000,0.000000
2.44300,70.1355,-0.13920,0.000000,0.000000,0.000000
2.44350,69.9904,-0.13935,0.000000,0.000000,0.000000
2.44400,69.8449,-0.13950,0.000000,0.000000,0.000000
2.44450,69.6990,-0.13965,0.000000,0.000000,0.000000
2.44500,69.5529,-0.13980,0.000000,0.000000,0.000000
2.44550,69.4064,-0.13995,0.000000,0.000000,0.000000
2.44600,69.2595,-0.14010,0.000000,0.000000,0.000000
2.44650,69.1123,-0.14025,0.000000,0.000000,0.000000
2.44700,68.9647,-0.14040,0.000000,0.000000,0.000000
2.44750,68.8168,-0.14055,0.000000,0.000000,0.000000
2.44800,68.6686,-0.14070,0.000000,0.000000,0.000000
2.44850,68.5200,-0.14085,0.000000,0.000000,0.000000
2.44900,68.3711,-0.14100,0.000000,0.000000,0.000000
2.44950,68.2218,-0.14115,0.000000,0.000000,0.000000
2.45000,68.0722,-0.14130,0.000000,0.000000,0.000000
2.45050,67.9222,-0.14145,0.000000,0.000000,0.000000
2.45100,67.7719,-0.14160,0.000000,0.000000,0.000000
2.45150,67.6212,-0.14175,0.000000,0.000000,0.000000
2.45200,67.4702,-0.14190,0.000000,0.000000,0.000000
2.45250,67.3188,-0.14205,0.000000,0.000000,0.000000
2.45300,67.1671,-0.14220,0.000000,0.000000,0.000000
2.45350,67.0150,-0.14235,0.000000,0.000000,0.000000
2.45400,66.8626,-0.14250,0.000000,0.000000,0.000000
2.45450,66.7098,-0.14265,0.000000,0.000000,0.000000
2.45500,66.5567,-0.14280,0.000000,0.000000,0.000000
2.45550,66.4032,-0.14295,0.000000,0.000000,0.000000
2.45600,66.2494,-0.14310,0.000000,0.000000,0.000000
2.45650,66.0952,-0.14325,0.000000,0.000000,0.000000
2.45700,65.9407,-0.14340,0.000000,0.000000,0.000000
2.45750,65.7858,-0.14355,0.000000,0.000000,0.000000
2.45800,65.6306,-0.14370,0.000000,0.000000,0.000000
2.45850,65.4750,-0.14385,0.000000,0.000000,0.000000
2.45900,65.3190,-0.14400,0.000000,0.000000,0.000000
2.45950,65.1627,-0.14415,0.000000,0.000000,0.000000
2.46000,65.0061,-0.14430,0.000000,0.000000,0.000000
2.46050,64.8491,-0.14445,0.000000,0.000000,0.000000
2.46100,64.6917,-0.14460,0.000000,0.000000,0.000000
2.46150,64.5340,-0.14475,0.000000,0.000000,0.000000
2.46200,64.3759,-0.14490,0.000000,0.000000,0.000000
2.46250,64.2175,-0.14505,0.000000,0.000000,0.000000
2.46300,64.0587,-0.14520,0.000000,0.000000,0.000000
2.46350,63.8996,-0.14535,0.000000,0.000000,0.000000
2.46400,63.7401,-0.14550,0.000000,0.000000,0.000000
2.46450,63.5802,-0.14565,0.000000,0.000000,0.000000
2.46500,63.4200,-0.14580,0.000000,0.000000,0.000000
2.46550,63.2594,-0.14595,0.000000,0.000000,0.000000
2.46600,63.0985,-0.14610,0.000000,0.000000,0.000000
2.46650,62.9372,-0.14625,0.000000,0.000000,0.000000
2.46700,62.7756,-0.14640,0.000000,0.000000,0.000000
2.46750,62.6136,-0.14655,0.000000,0.000000,0.000000
2.46800,62.4512,-0.14670,0.000000,0.000000,0.000000
2.46850,62.2885,-0.14685,0.000000,0.000000,0.000000
2.46900,62.1254,-0.14700,0.000000,0.000000,0.000000
2.46950,61.9620,-0.14715,0.000000,0.000000,0.000000
2.47000,61.7982,-0.14730,0.000000,0.000000,0.000000
2.47050,61.6340,-0.14745,0.000000,0.000000,0.000000
2.47100,61.4695,-0.14760,0.000000,0.000000,0.000000
2.47150,61.3046,-0.14775,0.000000,0.000000,0.000000
2.47200,61.1394,-0.14790,0.000000,0.000000,0.000000
2.47250,60.9738,-0.14805,0.000000,0.000000,0.000000
2.47300,60.8078,-0.14820,0.000000,0.000000,0.000000
2.47350,60.6415,-0.14835,0.000000,0.000000,0.000000
2.47400,60.4748,-0.14850,0.000000,0.000000,0.000000
2.47450,60.3078,-0.14865,0.000000,0.000000,0.000000
2.47500,60.1403,-0.14880,0.000000,0.000000,0.000000
2.47550,59.9726,-0.14895,0.000000,0.000000,0.000000
2.47600,59.8044,-0.14910,0.000000,0.000000,0.000000
2.47650,59.6359,-0.14925,0.000000,0.000000,0.000000
2.47700,59.4671,-0.14940,0.000000,0.000000,0.000000
2.47750,59.2978,-0.14955,0.000000,0.000000,0.000000
2.47800,59.1282,-0.14970,0.000000,0.000000,0.000000
2.47850,58.9583,-0.14985,0.000000,0.000000,0.000000
2.47900,58.7880,-0.15000,0.000000,0.000000,0.000000
2.47950,58.6173,-0.15000,0.000000,0.000000,0.000000
2.48000,58.4462,-0.15000,0.000000,0.000000,0.000000
2.48050,58.2748,-0.15000,0.000000,0.000000,0.000000
2.48100,58.1031,-0.15000,0.000000,0.000000,0.000000
2.48150,57.9310,-0.15000,0.000000,0.000000,0.000000
2.48200,57.7586,-0.15000,0.000000,0.000000,0.000000
2.48250,57.5858,-0.15000,0.000000,0.000000,0.000000
2.48300,57.4128,-0.15000,0.000000,0.000000,0.000000
2.48350,57.2393,-0.15000,0.000000,0.000000,0.000000
2.48400,57.0656,-0.15000,0.000000,0.000000,0.000000
2.48450,56.8915,-0.15000,0.000000,0.000000,0.000000
2.48500,56.7172,-0.15000,0.000000,0.000000,0.000000
2.48550,56.5425,-0.15000,0.000000,0.000000,0.000000
2.48600,56.3674,-0.15000,0.000000,0.000000,0.000000
2.48650,56.1921,-0.15000,0.000000,0.000000,0.000000
2.48700,56.0165,-0.15000,0.000000,0.000000,0.000000
2.48750,55.8406,-0.15000,0.000000,0.000000,0.000000
2.48800,55.6643,-0.15000,0.000000,0.000000,0.000000
2.48850,55.4878,-0.15000,0.000000,0.000000,0.000000
2.48900,55.3110,-0.15000,0.000000,0.000000,0.000000
2.48950,55.1338,-0.15000,0.000000,0.000000,0.000000
2.49000,54.9564,-0.15000,0.000000,0.000000,0.000000
2.49050,54.7787,-0.15000,0.000000,0.000000,0.000000
2.49100,54.6007,-0.15000,0.000000,0.000000,0.000000
2.49150,54.4224,-0.15000,0.000000,0.000000,0.000000
2.49200,54.2438,-0.15000,0.000000,0.000000,0.000000
2.49250,54.0649,-0.15000,0.000000,0.000000,0.000000
2.49300,53.8858,-0.15000,0.000000,0.000000,0.000000
2.49350,53.7064,-0.15000,0.000000,0.000000,0.000000
2.49400,53.5267,-0.15000,0.000000,0.000000,0.000000
2.49450,53.3467,-0.15000,0.000000,0.000000,0.000000
2.49500,53.1664,-0.15000,0.000000,0.000000,0.000000
2.49550,52.9859,-0.15000,0.000000,0.000000,0.000000
2.49600,52.8051,-0.15000,0.000000,0.000000,0.000000
2.49650,52.6240,-0.15000,0.000000,0.000000,0.000000
2.49700,52.4427,-0.15000,0.000000,0.000000,0.000000
2.49750,52.2611,-0.15000,0.000000,0.000000,0.000000
2.49800,52.0792,-0.15000,0.000000,0.000000,0.000000
2.49850,51.8971,-0.15000,0.000000,0.000000,0.000000
2.49900,51.7146,-0.15000,0.000000,0.000000,0.000000
2.49950,51.5320,-0.15000,0.000000,0.000000,0.000000
2.50000,51.3490,-0.15000,0.000000,0.000000,0.000000
2.50050,51.1659,-0.15000,0.000000,0.000000,0.000000
2.50100,50.9824,-0.15000,0.000000,0.000000,0.000000
2.50150,50.7987,-0.15000,0.000000,0.000000,0.000000
2.50200,50.6147,-0.15000,0.000000,0.000000,0.000000
2.50250,50.4305,-0.15000,0.000000,0.000000,0.000000
2.50300,50.2460,-0.15000,0.000000,0.000000,0.000000
2.50350,50.0613,-0.15000,0.000000,0.000000,0.000000
2.50400,49.8763,-0.15000,0.000000,0.000000,0.000000
2.50450,49.6910,-0.15000,0.000000,0.000000,0.000000
2.50500,49.5055,-0.15000,0.000000,0.000000,0.000000
2.50550,49.3198,-0.15000,0.000000,0.000000,0.000000
2.50600,49.1338,-0.15000,0.000000,0.000000,0.000000
2.50650,48.9475,-0.15000,0.000000,0.000000,0.000000
